"Number of Seats","Average Distance To Focal Point","Obstructed Views Ratio","Curvature","Bottom Row Length between Aisles","Number of Rows","Incline","Bottom Row End"
588,43.4523272386509,0.674603174603175,0.2,20,14,0.25,40.4
244,25.0673891702604,0.861111111111111,0.4,23,12,0.25,11.1
1056,48.1452538029797,0.933333333333333,0.6,23,25,0.45,10.1
1710,71.4566691797421,0.648148148148148,0.4,21,24,0.55,46.1
1290,62.7584114070599,0.534188034188034,0.1,20,26,0.45,47.6
852,49.1563235712357,0.736842105263158,0.3,21,19,0.45,31.1
1208,50.1998343874593,0.884057971014493,0.5,23,23,0.35,19.2
456,38.4274919120583,0.611111111111111,0.2,23,15,0.55,26.6
712,50.2470614870306,0.878787878787879,0.6,20,11,0.45,38.9
1476,65.8972579850827,0.804597701149425,0.3,22,29,0.55,30
2066,60.9844709468697,0.938271604938272,0.680297854086846,24,27,0.35,21.4
2152,73.8624206085545,0.984848484848485,0.680297854086846,23,22,0.35,44.1
780,47.0188757168582,0.798245614035088,0.4,23,19,0.45,24.7
368,37.7458338435842,0.854166666666667,0.6,22,8,0.35,30.3
1372,61.0688634792336,0.981481481481482,0.6,24,18,0.35,39.3
1848,69.9344532484615,0.821428571428571,0.4,22,28,0.55,34.6
684,52.5603888088914,0.555555555555556,0.4,21,11,0.45,49.3
1424,59.0955008898954,0.934782608695652,0.5,24,23,0.35,30.6
972,44.6897196696186,0.901960784313726,0.680297854086846,24,17,0.35,20.8
1086,58.5472421999277,0.685185185185185,0.4,20,18,0.45,42.8
528,43.0844149888862,0.9,0.6,24,10,0.45,32.5
1024,54.4429116194187,0.698412698412698,0.3,20,21,0.55,32.8
556,41.7531656973762,0.728070175438597,0.2,24,19,0.35,24.3
1212,57.6934389063858,0.753623188405797,0.3,24,23,0.45,34.5
596,42.8407793061183,0.730769230769231,0.4,20,13,0.45,32
1146,59.4269627483625,0.603864734299517,0.2,20,23,0.45,42.7
232,28.3968901402146,0.395833333333333,0.2,20,8,0.55,28.1
856,52.7348888909434,0.858974358974359,0.5,22,13,0.35,41.9
194,23.0721657386402,0.416666666666667,0.2,22,8,0.35,20.2
1992,66.5607070237556,0.935897435897436,0.680297854086846,22,26,0.45,28.2
260,29.2517504070387,0.592592592592593,0.3,23,9,0.25,25.5
762,50.4484691175245,0.642857142857143,0.3,21,14,0.25,46
1914,73.1963264225124,0.764444444444444,0.4,21,25,0.35,49
504,42.9361486694,0.655555555555556,0.2,23,10,0.25,48.4
2100,72.1931888861933,0.833333333333333,0.4,24,27,0.35,43.3
1600,63.1808515691065,1,0.680297854086846,24,20,0.35,35.9
584,41.8102296541711,0.708333333333333,0.3,24,16,0.45,27.1
420,36.3560096760473,0.666666666666667,0.5,21,12,0.55,22.3
760,45.9029025323444,0.844444444444444,0.6,22,15,0.45,26.6
460,43.4895633333842,0.826086956521739,0.2,20,23,0.55,11.5
1760,68.8844327524558,0.95,0.6,24,20,0.35,44.7
1334,49.2210956783933,0.954545454545455,0.680297854086846,24,22,0.25,18
1256,61.9877358942518,0.716049382716049,0.2,24,27,0.55,33.7
340,30.6564019305653,0.822222222222222,0.4,23,15,0.45,10.7
590,36.1758336805444,0.844444444444444,0.5,23,15,0.25,18
266,26.4894502649787,0.666666666666667,0.3,24,10,0.35,18.5
1956,70.8767931095605,0.891304347826087,0.5,23,23,0.35,45.3
1882,64.4159150966083,0.855555555555556,0.5,23,30,0.55,19.4
618,51.7625112199966,0.733333333333333,0.5,20,10,0.35,46.4
850,50.0696684699497,0.813333333333333,0.2,22,25,0.45,20.2
870,53.5334149422147,0.592592592592593,0.3,20,15,0.35,47.8
656,50.3434686858702,0.783333333333333,0.6,23,10,0.45,40.8
438,44.6554185338505,0.625,0.3,23,8,0.35,49.6
636,42.1608357919618,0.6875,0.2,21,16,0.25,33.5
1800,65.5341922988953,0.958333333333333,0.6,20,24,0.45,32.6
1248,66.0685673996379,0.711111111111111,0.680297854086846,22,15,0.45,47
516,44.9841838170771,0.666666666666667,0.4,22,9,0.45,43.1
318,34.0406405003693,0.611111111111111,0.1,20,8,0.35,43
768,48.6940952433244,0.923076923076923,0.6,21,13,0.45,33.5
232,25.6470511161754,0.606060606060606,0.2,23,11,0.45,16.4
1152,55.1096567034582,0.935185185185185,0.6,23,18,0.45,31.7
714,41.0009053115022,0.761904761904762,0.6,24,14,0.45,22.6
316,34.6647211775963,0.642857142857143,0.2,22,7,0.25,41.5
858,43.4945781474334,0.875,0.6,24,16,0.35,22.5
478,46.98039918813,0.826666666666667,0.1,22,25,0.55,14.5
1360,65.8326250794035,0.75,0.2,24,30,0.55,31.7
542,35.3743334138704,0.785714285714286,0.5,22,14,0.35,18.3
128,19.3069467378679,0.5,0.2,22,8,0.45,13.6
